2023-12-20 16:19:45,675 INFO    StreamThr :2118629 [internal.py:wandb_internal():89] W&B internal server running at pid: 2118629, started at: 2023-12-20 16:19:45.672709
2023-12-20 16:19:45,688 DEBUG   HandlerThread:2118629 [handler.py:handle_request():146] handle_request: status
2023-12-20 16:19:45,700 INFO    WriterThread:2118629 [datastore.py:open_for_write():85] open: /home/tiandy/code/RAG_LTL/wandb/run-20231220_161945-sh6nlww9/run-sh6nlww9.wandb
2023-12-20 16:19:45,703 DEBUG   SenderThread:2118629 [sender.py:send():382] send: header
2023-12-20 16:19:45,712 DEBUG   SenderThread:2118629 [sender.py:send():382] send: run
2023-12-20 16:19:46,436 INFO    SenderThread:2118629 [dir_watcher.py:__init__():211] watching files in: /home/tiandy/code/RAG_LTL/wandb/run-20231220_161945-sh6nlww9/files
2023-12-20 16:19:46,436 INFO    SenderThread:2118629 [sender.py:_start_run_threads():1139] run started: sh6nlww9 with start time 1703060385.667794
2023-12-20 16:19:46,462 DEBUG   HandlerThread:2118629 [handler.py:handle_request():146] handle_request: check_version
2023-12-20 16:19:46,463 DEBUG   SenderThread:2118629 [sender.py:send_request():409] send_request: check_version
2023-12-20 16:19:46,547 DEBUG   HandlerThread:2118629 [handler.py:handle_request():146] handle_request: run_start
2023-12-20 16:19:46,564 DEBUG   HandlerThread:2118629 [system_info.py:__init__():32] System info init
2023-12-20 16:19:46,564 DEBUG   HandlerThread:2118629 [system_info.py:__init__():47] System info init done
2023-12-20 16:19:46,564 INFO    HandlerThread:2118629 [system_monitor.py:start():194] Starting system monitor
2023-12-20 16:19:46,566 INFO    HandlerThread:2118629 [system_monitor.py:probe():214] Collecting system info
2023-12-20 16:19:46,566 INFO    SystemMonitor:2118629 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-20 16:19:46,569 INFO    SystemMonitor:2118629 [interfaces.py:start():190] Started cpu monitoring
2023-12-20 16:19:46,573 INFO    SystemMonitor:2118629 [interfaces.py:start():190] Started disk monitoring
2023-12-20 16:19:46,579 INFO    SystemMonitor:2118629 [interfaces.py:start():190] Started gpu monitoring
2023-12-20 16:19:46,588 INFO    SystemMonitor:2118629 [interfaces.py:start():190] Started memory monitoring
2023-12-20 16:19:46,592 INFO    SystemMonitor:2118629 [interfaces.py:start():190] Started network monitoring
2023-12-20 16:19:46,633 DEBUG   HandlerThread:2118629 [system_info.py:probe():196] Probing system
2023-12-20 16:19:46,635 DEBUG   HandlerThread:2118629 [system_info.py:_probe_git():181] Probing git
2023-12-20 16:19:46,680 DEBUG   HandlerThread:2118629 [system_info.py:_probe_git():189] Probing git done
2023-12-20 16:19:46,680 DEBUG   HandlerThread:2118629 [system_info.py:probe():244] Probing system done
